Cursor{id=9, time=16:40:23, x=-873.0, y=439.0}
Cursor{id=10, time=16:40:29, x=-1276.0, y=453.0}
Cursor{id=1, time=16:39:36, x=-1237.0, y=517.0}
Cursor{id=4, time=16:39:53, x=1331.0, y=862.0}
Cursor{id=11, time=16:40:35, x=1160.0, y=864.0}
Cursor{id=5, time=16:39:59, x=1378.0, y=889.0}
Cursor{id=3, time=16:39:47, x=1210.0, y=927.0}
Cursor{id=6, time=16:40:05, x=1401.0, y=930.0}
Cursor{id=7, time=16:40:11, x=1401.0, y=930.0}
Cursor{id=8, time=16:40:17, x=1415.0, y=946.0}
Cursor{id=2, time=16:39:41, x=1336.0, y=982.0}
